Full Name,Year of Birth,Year of Death,Era,Number of links,Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10
Camille Saint-Saëns,1835,1921,Romantic,3,https://www.youtube.com/watch?v=gPo7Vg4FbeU,https://www.youtube.com/watch?v=V6TPgwy-nRk,https://www.youtube.com/watch?v=cC6rXwGOudU,,,,,,,
Max Bruch,1838,1920,Romantic,3,https://www.youtube.com/watch?v=dUKZS2QQIm8,https://www.youtube.com/watch?v=YpX8DoS2hr8,https://www.youtube.com/watch?v=kAm0mwcWTxE,,,,,,,
Edvard Grieg,1843,1907,Romantic,3,https://www.youtube.com/watch?v=dyM2AnA96yE,https://www.youtube.com/watch?v=F1DnC1bnI1Q,https://www.youtube.com/watch?v=Ozn4C3AmEi0,,,,,,,
Jean Sibelius,1865,1957,Romantic,2,https://www.youtube.com/watch?v=1MPXDoB6jc8,https://www.youtube.com/watch?v=5gwjkFoBX4Y,,,,,,,,
Henryk Wieniawski,1835,1880,Romantic,3,https://www.youtube.com/watch?v=TReFpkL-Bx8,https://www.youtube.com/watch?v=fCm5lJpPZJ4,https://www.youtube.com/watch?v=9zSHcJp2-ZE,,,,,,,
Hector Berlioz,1803,1869,Romantic,3,https://www.youtube.com/watch?v=BnZWNfYcOVc,https://www.youtube.com/watch?v=ewoAW-Zyuj8,https://www.youtube.com/watch?v=HofoFYxqIgU,,,,,,,
Pyotr Ilyich Tchaikovsky,1840,1893,Romantic,3,https://www.youtube.com/watch?v=O5Q2j7srAHs,https://www.youtube.com/watch?v=uZmLx4w2VHo,https://www.youtube.com/watch?v=QAsZMcX5Zoc,,,,,,,
Clara Schumann,1819,1896,Romantic,4,https://www.youtube.com/watch?v=sHnYlORpL5Q,https://www.youtube.com/watch?v=Pw4fMNMO90U,https://www.youtube.com/watch?v=JJ20v8U7G_0,https://www.youtube.com/watch?v=soPXiuB1hGg,,,,,,
Gustav Mahler,1860,1911,Romantic,4,https://www.youtube.com/watch?v=zPXinFjtIyg,https://www.youtube.com/watch?v=Kduo6177z_o,https://www.youtube.com/watch?v=aheYlwUAyXc,https://www.youtube.com/watch?v=ah3mcaRpc9Q,,,,,,
Giuseppe Verdi,1813,1901,Romantic,4,https://www.youtube.com/watch?v=_jBLyIQvNf0,https://www.youtube.com/watch?v=uvhUmzBP_aI,https://www.youtube.com/watch?v=AssDQbaIP_I,https://www.youtube.com/watch?v=WEMMVHAINFM,,,,,,
Richard Wagner,1813,1883,Romantic,3,https://www.youtube.com/watch?v=GGU1P6lBW6Q,https://www.youtube.com/watch?v=SRmCEGHt-Qk,https://www.youtube.com/watch?v=VMw0EjLFPXw,,,,,,,
Richard Strauss,1864,1949,Romantic,2,https://www.youtube.com/watch?v=IFPwm0e_K98,https://www.youtube.com/watch?v=-oB4nOG4QXQ,,,,,,,,
